Language,WordNet SSID,Wikidata QID,WordNet Definition,Wikidata Definition,Exact,Accept,Wikidata
"Georgian, Georgian language",https://en-word.net/id/oewn-06991426-n,https://www.wikidata.org/entity/Q8108,a southern Caucasian language with 3 million speakers and a long literary tradition,official language of Georgia,Exact,TRUE,
"Ubykh, Ubykh language",https://en-word.net/id/oewn-06991564-n,https://www.wikidata.org/entity/Q36931,an extinct Caucasian language spoken exclusively in Turkey,extinct Northwest Caucasian language once spoken by the Ubykh people,Exact,TRUE,
"Dravidian, Dravidic, Dravidian language",https://en-word.net/id/oewn-06991674-n,https://www.wikidata.org/entity/Q33311,"a large family of languages spoken in south and central India and Sri Lanka, as well as overseas in Malaysia and Singapore",language family mostly of southern India,Exact,TRUE,
"South Dravidian, South Dravidian language",https://en-word.net/id/oewn-06991909-n,https://www.wikidata.org/entity/Q128886618,a Dravidian language spoken primarily in southern India,proposed language family containing the South Dravidian I and South Dravidian II languages,Multiple,TRUE,
"South Dravidian, South Dravidian language",https://en-word.net/id/oewn-06991909-n,https://www.wikidata.org/entity/Q16112843,a Dravidian language spoken primarily in southern India,,Multiple,FALSE,
"Irula, Irula language",https://en-word.net/id/oewn-06992152-n,https://www.wikidata.org/entity/Q33363,a Dravidian language closely related to Tamil that is spoken in a hilly section of southwestern India,"Dravidian language spoken in Tamil Nadu, Kerala and Karnataka, India",Exact,TRUE,
"Kota, Kotar, Kota language, Kotar language",https://en-word.net/id/oewn-06992305-n,https://www.wikidata.org/entity/Q35607,a Dravidian language spoken by the Kota,language of Gabon,Multiple,FALSE,
"Kota, Kotar, Kota language, Kotar language",https://en-word.net/id/oewn-06992305-n,https://www.wikidata.org/entity/Q33483,a Dravidian language spoken by the Kota,language of India,Multiple,TRUE,
"Toda, Toda language",https://en-word.net/id/oewn-06992403-n,https://www.wikidata.org/entity/Q34042,the Dravidian language spoken by the Toda in southern India,language,Exact,TRUE,
"Kannada, Kanarese, Kanarese language, Kannada language",https://en-word.net/id/oewn-06992617-n,https://www.wikidata.org/entity/Q33673,a Dravidian language spoken in southern India,Dravidian language native to South India,Exact,TRUE,
Badaga,https://en-word.net/id/oewn-06992513-n,https://www.wikidata.org/entity/Q33205,the dialect of Kannada that is spoken by the Badaga,southern Dravidian language (Tamil–Kannada branch) spoken mostly by people in the Nilgiri Hills of Southern India,Exact,TRUE,
"Tulu, Tulu language",https://en-word.net/id/oewn-06992745-n,https://www.wikidata.org/entity/Q34251,a Dravidian language spoken by the Tulu,Indian Dravidian language of Tulu Nadu region,Multiple,TRUE,
"Tulu, Tulu language",https://en-word.net/id/oewn-06992745-n,https://www.wikidata.org/entity/Q67999865,a Dravidian language spoken by the Tulu,language family,Multiple,FALSE,
"Malayalam, Malayalam language",https://en-word.net/id/oewn-06992835-n,https://www.wikidata.org/entity/Q36236,a Dravidian language (closely related to Tamil) that is spoken in southwestern India,Dravidian language of India,Multiple,TRUE,
"Malayalam, Malayalam language",https://en-word.net/id/oewn-06992835-n,https://www.wikidata.org/entity/Q6741581,a Dravidian language (closely related to Tamil) that is spoken in southwestern India,language family which includes Malayalam itself,Multiple,FALSE,
"Tamil, Tamil language",https://en-word.net/id/oewn-06992975-n,https://www.wikidata.org/entity/Q5885,the Dravidian language spoken since prehistoric times by the Tamil in southern India and Sri Lanka,Dravidian language native to South India and Sri Lanka,Exact,TRUE,
"South-Central Dravidian, South-Central Dravidian language",https://en-word.net/id/oewn-06993125-n,https://www.wikidata.org/entity/Q12633975,a Dravidian language spoken primarily in south central India,,Exact,TRUE,
"Telugu, Telugu language",https://en-word.net/id/oewn-06993381-n,https://www.wikidata.org/entity/Q8097,a Dravidian language spoken by the Telugu in southeastern India,Dravidian language native to South India,Exact,TRUE,
"Savara, Savara language",https://en-word.net/id/oewn-06993497-n,https://www.wikidata.org/entity/Q13284,a Dravidian language spoken by the Savara in southeastern India (north of Madras),Munda language of India,Multiple,TRUE,
"Savara, Savara language",https://en-word.net/id/oewn-06993497-n,https://www.wikidata.org/entity/Q33771,a Dravidian language spoken by the Savara in southeastern India (north of Madras),language,Multiple,FALSE,
"Gondi, Gondi language",https://en-word.net/id/oewn-06993631-n,https://www.wikidata.org/entity/Q55639812,a Dravidian language spoken by the Gond in south central India,language family,Multiple,FALSE,
"Gondi, Gondi language",https://en-word.net/id/oewn-06993631-n,https://www.wikidata.org/entity/Q1775361,a Dravidian language spoken by the Gond in south central India,South-Central-Dravidian language spoken by the Gondi people,Multiple,TRUE,
"Pengo, Pengo language",https://en-word.net/id/oewn-06993745-n,https://www.wikidata.org/entity/Q56758,"a Dravidian language spoken in south central India, particularly in Odisha",Dravidian language,Exact,TRUE,
"Manda, Manda language",https://en-word.net/id/oewn-06993847-n,https://www.wikidata.org/entity/Q18650060,"a Dravidian language spoken in south central India, specifically in Odisha, Kalahandi district, Thuamur Rampur subdivision",dialect of Western Daly languages,Multiple,FALSE,
"Manda, Manda language",https://en-word.net/id/oewn-06993847-n,https://www.wikidata.org/entity/Q16939267,"a Dravidian language spoken in south central India, specifically in Odisha, Kalahandi district, Thuamur Rampur subdivision",Bantu language,Multiple,FALSE,
"Manda, Manda language",https://en-word.net/id/oewn-06993847-n,https://www.wikidata.org/entity/Q56760,"a Dravidian language spoken in south central India, specifically in Odisha, Kalahandi district, Thuamur Rampur subdivision",Dravidian language,Multiple,TRUE,
"Kui, Kui language",https://en-word.net/id/oewn-06993949-n,https://www.wikidata.org/entity/Q33919,the Dravidian language spoken by the Kui in southeastern India,Dravidian language spoken in Eastern India,Multiple,TRUE,
"Kui, Kui language",https://en-word.net/id/oewn-06993949-n,https://www.wikidata.org/entity/Q6442230,the Dravidian language spoken by the Kui in southeastern India,language spoken in Indonesia,Multiple,FALSE,
"Kuvi, Kuvi language",https://en-word.net/id/oewn-06994061-n,https://www.wikidata.org/entity/Q3200721,a Dravidian language spoken in southeast India,language,Exact,TRUE,
"Central Dravidian, Central Dravidian language",https://en-word.net/id/oewn-06994158-n,https://www.wikidata.org/entity/Q12628823,a Dravidian language spoken primarily in central India,Central Dravidian language branch,Exact,TRUE,
"Kolami, Kolami language",https://en-word.net/id/oewn-06994366-n,https://www.wikidata.org/entity/Q33479,the Dravidian language spoken by the Kolam in central India,language,Exact,TRUE,
"Naiki, Naiki language",https://en-word.net/id/oewn-06994478-n,https://www.wikidata.org/entity/Q56767,"a Dravidian language spoken in south central India, specifically in the Andhra Pradesh and Maharashtra states of India",Dravidian language,Exact,TRUE,
"Parji, Parji language",https://en-word.net/id/oewn-06994580-n,https://www.wikidata.org/entity/Q56753,"a Dravidian language spoken in south central India, spoken by the Dhurwa tribe, in the districts of Koraput and Bastar in Chhattisgarh state",language,Exact,TRUE,
"Ollari, Ollari language",https://en-word.net/id/oewn-06994682-n,https://www.wikidata.org/entity/Q33906,"a Dravidian language spoken in south central India, particularly in Odisha, Koraput district, Pottangi and Nandapur blocks",Central Dravidian language,Exact,TRUE,
"Gadaba, Gadaba language",https://en-word.net/id/oewn-06994785-n,https://www.wikidata.org/entity/Q12952433,the Dravidian language spoken by the Gadaba,"Dravidian language, closely related to Ollari",Exact,TRUE,
"North Dravidian, North Dravidian language",https://en-word.net/id/oewn-06994881-n,https://www.wikidata.org/entity/Q16110967,a Dravidian language spoken primarily in eastern India,branch of the Dravidian language family,Exact,TRUE,
"Kurux, Kurux language",https://en-word.net/id/oewn-06995051-n,https://www.wikidata.org/entity/Q33492,a Dravidian language spoken in eastern India,Dravidian language of eastern India,Exact,TRUE,
"Malto, Malto language",https://en-word.net/id/oewn-06995147-n,https://www.wikidata.org/entity/Q33907,the Dravidian language spoken by the Malto,Dravidian language,Exact,TRUE,
"Brahui, Brahui language",https://en-word.net/id/oewn-06995241-n,https://www.wikidata.org/entity/Q33202,an isolated Dravidian language spoken by the Brahui in Pakistan,"Dravidian language spoken by Brahui people of Pakistan, Afghanistan and Iran, and expatriate communities in Qatar, United Arab Emirates, and Iraq",Exact,TRUE,
"Afroasiatic, Afro-Asiatic, Afroasiatic language, Afrasian, Afrasian language, Hamito-Semitic",https://en-word.net/id/oewn-06999218-n,https://www.wikidata.org/entity/Q25268,a large family of related languages spoken both in Asia and Africa,large language family of Africa and West Asia,Exact,TRUE,
"Chad, Chadic, Chadic language",https://en-word.net/id/oewn-06998936-n,https://www.wikidata.org/entity/Q33184,a family of Afroasiatic tonal languages (mostly two tones) spoken in the regions west and south of Lake Chad in north central Africa,branch of the Afroasiatic languages,Exact,TRUE,
West Chadic,https://en-word.net/id/oewn-06996181-n,https://www.wikidata.org/entity/Q2447774,a group of Chadic languages spoken in northern Nigeria; Hausa in the most important member,language family,Exact,TRUE,
"Hausa, Haussa",https://en-word.net/id/oewn-06995357-n,https://www.wikidata.org/entity/Q56475,the chief member of the Chadic family of Afroasiatic languages; widely used as a trading language,Chadic language spoken by the Hausa people,Exact,TRUE,
"Bole, Bolanci, Bole language, Bolanci language",https://en-word.net/id/oewn-06995515-n,https://www.wikidata.org/entity/Q20526291,"a Chadic language spoken in northern Nigeria and closely related to Hausa, with dialects including Bara and Fika",,Multiple,FALSE,
"Bole, Bolanci, Bole language, Bolanci language",https://en-word.net/id/oewn-06995515-n,https://www.wikidata.org/entity/Q3436680,"a Chadic language spoken in northern Nigeria and closely related to Hausa, with dialects including Bara and Fika",Afro-Asiatic language spoken in Nigeria,Multiple,TRUE,
"Bole, Bolanci, Bole language, Bolanci language",https://en-word.net/id/oewn-06995515-n,https://www.wikidata.org/entity/Q35180,"a Chadic language spoken in northern Nigeria and closely related to Hausa, with dialects including Bara and Fika",Bantu language,Multiple,FALSE,
"Angas, Angas language",https://en-word.net/id/oewn-06995649-n,https://www.wikidata.org/entity/Q35999,"a Chadic language spoken in northern Nigeria and closely related to Hausa, with dialects including Hill Angas and Plain Angas",West Chadic language of Nigeria,Multiple,TRUE,
"Angas, Angas language",https://en-word.net/id/oewn-06995649-n,https://www.wikidata.org/entity/Q9021377,"a Chadic language spoken in northern Nigeria and closely related to Hausa, with dialects including Hill Angas and Plain Angas",group of West Chadic languages of the Bole-Angas sub-group,Multiple,FALSE,
"Angas, Angas language",https://en-word.net/id/oewn-06995649-n,https://www.wikidata.org/entity/Q20586073,"a Chadic language spoken in northern Nigeria and closely related to Hausa, with dialects including Hill Angas and Plain Angas",,Multiple,FALSE,
"Ron, Bokkos, Daffo, Ron language, Daffo language, Bokkos language",https://en-word.net/id/oewn-06995774-n,https://www.wikidata.org/entity/Q3440432,"a Chadic language spoken in northern Nigeria, especially in the Plateau State, Bokkos, Barakin-Ladi, and Mangu LGAs",Chadic language cluster spoken in Nigeria,Multiple,FALSE,
"Ron, Bokkos, Daffo, Ron language, Daffo language, Bokkos language",https://en-word.net/id/oewn-06995774-n,https://www.wikidata.org/entity/Q7366335,"a Chadic language spoken in northern Nigeria, especially in the Plateau State, Bokkos, Barakin-Ladi, and Mangu LGAs",language in Papua,Multiple,FALSE,
"Ron, Bokkos, Daffo, Ron language, Daffo language, Bokkos language",https://en-word.net/id/oewn-06995774-n,https://www.wikidata.org/entity/Q16116327,"a Chadic language spoken in northern Nigeria, especially in the Plateau State, Bokkos, Barakin-Ladi, and Mangu LGAs",West Chadic language group of Nigeria,Multiple,FALSE,
"Ron, Bokkos, Daffo, Ron language, Daffo language, Bokkos language",https://en-word.net/id/oewn-06995774-n,https://www.wikidata.org/entity/Q1157129,"a Chadic language spoken in northern Nigeria, especially in the Plateau State, Bokkos, Barakin-Ladi, and Mangu LGAs",language of Nigeria,Multiple,TRUE,
"Bade, Bade language",https://en-word.net/id/oewn-06995885-n,https://www.wikidata.org/entity/Q56239,"a Chadic language spoken in northern Nigeria, especially in the Yobe State, Bade, Jakusko, Bursari, and Karasuwa LGAs, Jigawa State, Guri LGA, and Bauchi State, Zaki LGA",language,Multiple,TRUE,
"Bade, Bade language",https://en-word.net/id/oewn-06995885-n,https://www.wikidata.org/entity/Q20586081,"a Chadic language spoken in northern Nigeria, especially in the Yobe State, Bade, Jakusko, Bursari, and Karasuwa LGAs, Jigawa State, Guri LGA, and Bauchi State, Zaki LGA",,Multiple,FALSE,
"Warji, Warji language",https://en-word.net/id/oewn-06995980-n,https://www.wikidata.org/entity/Q3440381,"a Chadic language spoken in northern Nigeria, especially in Bauchi State, Ningi LGA, and Jigawa State, Birnin Kudu LGA",language,Multiple,TRUE,
"Warji, Warji language",https://en-word.net/id/oewn-06995980-n,https://www.wikidata.org/entity/Q85814433,"a Chadic language spoken in northern Nigeria, especially in Bauchi State, Ningi LGA, and Jigawa State, Birnin Kudu LGA",group of related West Chadic languages spoken in northern Nigeria,Multiple,FALSE,
"Zaar, Sayanci, Sayanci language, Zaar language",https://en-word.net/id/oewn-06996076-n,https://www.wikidata.org/entity/Q3914431,"a Chadic language spoken in northern Nigeria, especially in Bauchi State, Tafawa Balewa LGA",language,Exact,TRUE,
Biu-Mandara,https://en-word.net/id/oewn-06997613-n,https://www.wikidata.org/entity/Q2251547,a group of Chadic languages spoken in the border area between Cameroon and Nigeria south of Lake Chad,languages of the Afro-Asiatic family,Exact,TRUE,
"Tera, Pidlimdi, Yamaltu, Tera language, Yamaltu language, Pidlimdi language",https://en-word.net/id/oewn-06996455-n,https://www.wikidata.org/entity/Q56267,a three-tone Chadic language,language,Multiple,TRUE,
"Tera, Pidlimdi, Yamaltu, Tera language, Yamaltu language, Pidlimdi language",https://en-word.net/id/oewn-06996455-n,https://www.wikidata.org/entity/Q5972949,a three-tone Chadic language,,Multiple,FALSE,
"Bura, Pabir, Bura language, Pabir language",https://en-word.net/id/oewn-06996555-n,https://www.wikidata.org/entity/Q3337327,"a Chadic language spoken south of Lake Chad, especially in the Borno State, Biu and Askira-Uba LGAs, Adamawa State, Gombi LGA",language,Multiple,FALSE,
"Bura, Pabir, Bura language, Pabir language",https://en-word.net/id/oewn-06996555-n,https://www.wikidata.org/entity/Q56552,"a Chadic language spoken south of Lake Chad, especially in the Borno State, Biu and Askira-Uba LGAs, Adamawa State, Gombi LGA",language,Multiple,TRUE,
"Bura, Pabir, Bura language, Pabir language",https://en-word.net/id/oewn-06996555-n,https://www.wikidata.org/entity/Q106103295,"a Chadic language spoken south of Lake Chad, especially in the Borno State, Biu and Askira-Uba LGAs, Adamawa State, Gombi LGA",Espiritu Santo language of Vanuatu,Multiple,FALSE,
"Higi, Kapsiki, Higi language, Kapsiki language",https://en-word.net/id/oewn-06996657-n,https://www.wikidata.org/entity/Q56304,"a Chadic language spoken south of Lake Chad, especially in the Adamawa State, Michika LGA, Mandara mountains",language spoken in Cameroon and Nigeria,Exact,TRUE,
"Mandara, Wandala, Wandala language, Mandara language",https://en-word.net/id/oewn-06996761-n,https://www.wikidata.org/entity/Q3441249,a Chadic language spoken in the Mandara mountains in Cameroon; has only two vowels,language,Multiple,TRUE,
"Mandara, Wandala, Wandala language, Mandara language",https://en-word.net/id/oewn-06996761-n,https://www.wikidata.org/entity/Q3285424,a Chadic language spoken in the Mandara mountains in Cameroon; has only two vowels,language,Multiple,FALSE,
"Matakam, Mafa, Mafa language, Matakam language",https://en-word.net/id/oewn-06996907-n,https://www.wikidata.org/entity/Q35819,"a Chadic language spoken south of Lake Chad, especially in the Far North Region, Mayo-Tsanaga division, from Mokolo town north",language,Exact,TRUE,
"Sukur, Sukur language",https://en-word.net/id/oewn-06997011-n,https://www.wikidata.org/entity/Q56292,"a Chadic language spoken south of Lake Chad, especially in the North tip Adamawa State, Michika LGA, Mandara mountains",Biu–Mandara language of Nigeria,Exact,TRUE,
"Daba, Kola, Musgoi, Kola language, Musgoi language, Daba language",https://en-word.net/id/oewn-06997106-n,https://www.wikidata.org/entity/Q3913342,"a Chadic language spoken south of Lake Chad, especially in the North Region, Mayo-Louti division, Mayo-Oulo and Guider subdivisions northwest of Guider, Far North Region, Mayo-Tsanaga division, Hina and Bourrah subdivisions",language,Multiple,TRUE,
"Daba, Kola, Musgoi, Kola language, Musgoi language, Daba language",https://en-word.net/id/oewn-06997106-n,https://www.wikidata.org/entity/Q6426967,"a Chadic language spoken south of Lake Chad, especially in the North Region, Mayo-Louti division, Mayo-Oulo and Guider subdivisions northwest of Guider, Far North Region, Mayo-Tsanaga division, Hina and Bourrah subdivisions",Austronesian language in Maluku,Multiple,FALSE,
"Bata, Bata language",https://en-word.net/id/oewn-06997216-n,https://www.wikidata.org/entity/Q128792716,"a Chadic language spoken south of Lake Chad, especially in the Adamawa State, Yola North, Gombi, Song and Fufore LGAs",,Multiple,FALSE,
"Bata, Bata language",https://en-word.net/id/oewn-06997216-n,https://www.wikidata.org/entity/Q56254,"a Chadic language spoken south of Lake Chad, especially in the Adamawa State, Yola North, Gombi, Song and Fufore LGAs",language,Multiple,TRUE,
"Kotoko, Kotoko language",https://en-word.net/id/oewn-06997310-n,,"a Chadic language spoken south of Lake Chad, usually spoken along the lower Chari and Logone rivers",,None,FALSE,no match
"Musgu, Munjuk, Mulwi, Mulwi language, Munjuk language, Musgu language",https://en-word.net/id/oewn-06997406-n,https://www.wikidata.org/entity/Q3123545,"a Chadic language spoken south of Lake Chad, especially in the Far North Region, Mayo-Danay division, Maga subdivision",language,Exact,TRUE,
"Gidar, Gidar language",https://en-word.net/id/oewn-06997518-n,https://www.wikidata.org/entity/Q35265,"a Chadic language spoken south of Lake Chad, especially in the North Region, Mayo-Louti division, Guider and Figuil subdivisions; Far North Region, a small section of Diamare division",language,Exact,TRUE,
East Chadic,https://en-word.net/id/oewn-06998552-n,https://www.wikidata.org/entity/Q2276221,a group of Chadic languages spoken in Chad,Afro-Asiatic language branch,Exact,TRUE,
"Somrai, Sibine, Sibine language, Somrai language",https://en-word.net/id/oewn-06997970-n,https://www.wikidata.org/entity/Q3123566,"a Chadic language spoken in Chad, in the Tandjile Region, Tandjile Est department, Lai subprefecture, northeast of Lai, Domogou",language,Exact,TRUE,
"Nancere, Nancere language",https://en-word.net/id/oewn-06998064-n,https://www.wikidata.org/entity/Q3140491,"a Chadic language spoken in Chad, in Tandjile Region, Tandjile Ouest department, Béré, Delban, and Kélo subprefectures",language,Exact,TRUE,
"Kera, Kera language",https://en-word.net/id/oewn-06998150-n,https://www.wikidata.org/entity/Q56251,"a Chadic language spoken in Chad, in Mayo-Kebbi Est Region, Mont d'Illi department, south of Fianga, near Lake Tikem",Chadic language of Chad and Cameroon,Multiple,TRUE,
"Kera, Kera language",https://en-word.net/id/oewn-06998150-n,https://www.wikidata.org/entity/Q3327828,"a Chadic language spoken in Chad, in Mayo-Kebbi Est Region, Mont d'Illi department, south of Fianga, near Lake Tikem",Munda language spoken in eastern India,Multiple,FALSE,
"Dangla, Dangaleat, Dangla language, Dangaleat language",https://en-word.net/id/oewn-06998233-n,https://www.wikidata.org/entity/Q942591,a Chadic language spoken in Chad; uses seven vowels plus differences in vowel length,language,Exact,TRUE,
"Mokulu, Mokulu language",https://en-word.net/id/oewn-06998382-n,,"a Chadic language spoken in Chad, in Guera Region, Guera department, Bitkine subprefecture, below Guera massif, Moukoulou, Séguine, Doli, Morgué, Djarkatché (Mezimi), and Gougué villages",,None,FALSE,https://www.wikidata.org/wiki/Q3440403
"Sokoro, Sokoro language",https://en-word.net/id/oewn-06998467-n,https://www.wikidata.org/entity/Q3441303,"a Chadic language spoken in Chad in the Guera Region, Bahr Signaka department, Melfi subprefecture, Gogmi to Badanga, southeast Hadjer-Lamis Region",language,Exact,TRUE,
Masa,https://en-word.net/id/oewn-06998760-n,https://www.wikidata.org/entity/Q2136092,an independent group of closely related Chadic languages spoken in the area between the Biu-Mandara and East Chadic languages,group of Chadic languages,Exact,TRUE,
Semitic,https://en-word.net/id/oewn-06999554-n,https://www.wikidata.org/entity/Q34049,a major branch of the Afro-Asiatic language family,language group containing Arabic and Hebrew,Exact,TRUE,
Akkadian,https://en-word.net/id/oewn-07000185-n,https://www.wikidata.org/entity/Q35518,an ancient branch of the Semitic languages,extinct Semitic language of Mesopotamia,Exact,FALSE,https://www.wikidata.org/wiki/Q164273
"Assyrian Akkadian, Assyrian, Assyrian Akkadian language, Assyrian language",https://en-word.net/id/oewn-07000319-n,https://www.wikidata.org/entity/Q29440,an extinct language of the Assyrians in ancient Mesopotamia,Neo-Aramaic dialect,Multiple,FALSE,https://www.wikidata.org/entity/Q35518
"Assyrian Akkadian, Assyrian, Assyrian Akkadian language, Assyrian language",https://en-word.net/id/oewn-07000319-n,https://www.wikidata.org/entity/Q117430111,an extinct language of the Assyrians in ancient Mesopotamia,dialect of Akkadian spoken in northern Mesopotamia from the third to first millennium BCE,Multiple,FALSE,
"Amharic, Ethiopian language, Amharic language",https://en-word.net/id/oewn-07000472-n,https://www.wikidata.org/entity/Q28244,the dominant and official language of Ethiopia; a Semitic language much influenced by the Cushitic language with which Amhara have been in close contact,Semitic language of Ethiopia,Exact,TRUE,
"Arabic, Arabic language",https://en-word.net/id/oewn-07000717-n,https://www.wikidata.org/entity/Q13955,the Semitic language of the Arabs; spoken in a variety of dialects,Semitic language and lingua franca of the Arab world,Exact,TRUE,
"Aramaic, Aramaic language",https://en-word.net/id/oewn-07000967-n,,a Semitic language originally of the ancient Arameans but still spoken by other people in southwestern Asia,,None,FALSE,https://www.wikidata.org/wiki/Q28602
"Biblical Aramaic, Biblical Aramaic language",https://en-word.net/id/oewn-07001200-n,,the form of Aramaic that was spoken in Palestine in the time of the New Testament,,None,FALSE,https://www.wikidata.org/wiki/Q843235
"Assyrian Neo-Aramaic, Assyrian, Assyrian Neo-Aramaic language",https://en-word.net/id/oewn-07001344-n,https://www.wikidata.org/entity/Q29440,the language of modern Iraq,Neo-Aramaic dialect,Multiple,TRUE,
"Assyrian Neo-Aramaic, Assyrian, Assyrian Neo-Aramaic language",https://en-word.net/id/oewn-07001344-n,https://www.wikidata.org/entity/Q117430111,the language of modern Iraq,dialect of Akkadian spoken in northern Mesopotamia from the third to first millennium BCE,Multiple,FALSE,
"Mandaean, Mandean, Mandaean language, Mandean language",https://en-word.net/id/oewn-07001468-n,,the form of Aramaic used by the Mandeans,,None,FALSE,https://www.wikidata.org/wiki/Q33500
"Maltese, Maltese language, Malti, Malti language",https://en-word.net/id/oewn-07001573-n,https://www.wikidata.org/entity/Q9166,"the national language of the Republic of Malta; a Semitic language derived from Arabic but with many loan words from Italian, Spanish, and Norman-French",Semitic language spoken mostly in Malta,Exact,TRUE,
"Canaanitic, Canaanitic language",https://en-word.net/id/oewn-07001806-n,,a group of Semitic languages,,None,FALSE,https://www.wikidata.org/wiki/Q747547
"Hebrew, Hebrew language",https://en-word.net/id/oewn-06999784-n,https://www.wikidata.org/entity/Q9288,the ancient Canaanitic language of the Hebrews that has been revived as the official language of Israel,Northwest Semitic language,Exact,TRUE,
"Modern Hebrew, Modern Hebrew language",https://en-word.net/id/oewn-07000069-n,https://www.wikidata.org/entity/Q8141,Hebrew used in Israel today; revived from ancient Hebrew,standard form of the Hebrew language spoken today mainly in Israel,Exact,TRUE,
"Canaanite, Canaanite language",https://en-word.net/id/oewn-07001985-n,https://www.wikidata.org/entity/Q747547,the extinct language of the Semitic people who occupied Canaan before the Israelite conquest,large language family from the Levant and Mesopotamia,Exact,FALSE,no match?
"Phoenician, Phoenician language",https://en-word.net/id/oewn-07002133-n,https://www.wikidata.org/entity/Q36734,the extinct language of an ancient Semitic people who dominated trade in the ancient world,ancient Semitic language of the Mediterranean,Exact,TRUE,
Punic,https://en-word.net/id/oewn-07002317-n,https://www.wikidata.org/entity/Q535958,the Phoenician dialect of ancient Carthage,extinct dialect of the Phoenician language spoken in North Africa and the Western Mediterranean,Exact,TRUE,
"Ugaritic, Ugaritic language",https://en-word.net/id/oewn-07002429-n,https://www.wikidata.org/entity/Q36928,an extinct Semitic language of northern Syria,extinct Northwest Semitic language,Exact,TRUE,
Ge'ez,https://en-word.net/id/oewn-92461606-n,https://www.wikidata.org/entity/Q35667,"a Semitic language of ancient Ethiopia, now used only as the liturgical language of the Ethiopian Church.",ancient Semitic language of Ethiopia,Exact,TRUE,
"Hamitic, Hamitic language",https://en-word.net/id/oewn-07002529-n,https://www.wikidata.org/entity/Q518848,a group of languages in northern Africa related to Semitic,,Exact,FALSE,https://www.wikidata.org/wiki/Q518848
"Egyptian, Egyptian language",https://en-word.net/id/oewn-07002660-n,https://www.wikidata.org/entity/Q34610803,the ancient and now extinct language of Egypt under the Pharaohs; written records date back to 3000 BC,branch of the Afro-Asiatic languages,Multiple,FALSE,
"Egyptian, Egyptian language",https://en-word.net/id/oewn-07002660-n,https://www.wikidata.org/entity/Q50868,the ancient and now extinct language of Egypt under the Pharaohs; written records date back to 3000 BC,extinct language spoken in ancient Egypt,Multiple,TRUE,
"Coptic, Coptic language",https://en-word.net/id/oewn-07003031-n,https://www.wikidata.org/entity/Q36155,the liturgical language of the Coptic Church used in Egypt and Ethiopia; written in the Greek alphabet,latest stage of the Egyptian language,Exact,TRUE,
Berber,https://en-word.net/id/oewn-07003204-n,https://www.wikidata.org/entity/Q25448,a cluster of related dialects that were once the major language of northern Africa west of Egypt; now spoken mostly in Morocco,branch of the Afroasiatic language family indigenous to North Africa,Exact,TRUE,
Tuareg,https://en-word.net/id/oewn-07003401-n,https://www.wikidata.org/entity/Q34065,the dialect of Berber spoken by the Tuareg,group of closely related Berber languages and dialects,Exact,TRUE,
Cushitic,https://en-word.net/id/oewn-07003496-n,https://www.wikidata.org/entity/Q33248,a group of languages spoken in Ethiopia and Somalia and northwestern Kenya and adjacent regions,branch of Afroasiatic native to East Africa,Exact,TRUE,
"Somali, Somali language",https://en-word.net/id/oewn-07003664-n,https://www.wikidata.org/entity/Q13275,the Cushitic language spoken by the Somali,Afroasiatic language belonging to the Cushitic branch,Exact,TRUE,
Omotic,https://en-word.net/id/oewn-07003777-n,https://www.wikidata.org/entity/Q33860,a group of related languages spoken in a valley of southern Ethiopia; closely related to Cushitic languages,language family,Exact,TRUE,
"Niger-Kordofanian, Niger-Kordofanian language",https://en-word.net/id/oewn-07003937-n,https://www.wikidata.org/entity/Q3410697,"the family of languages that includes most of the languages spoken in Africa south of the Sahara; the majority of them are tonal languages but there are important exceptions (e.g., Swahili or Fula)",,Exact,TRUE,
Kordofanian,https://en-word.net/id/oewn-07004282-n,https://www.wikidata.org/entity/Q1139349,a group of languages spoken in the relatively small Kordofan area of the south Sudan,language family,Exact,TRUE,
Niger-Congo,https://en-word.net/id/oewn-07004424-n,https://www.wikidata.org/entity/Q33838,a family of African language spoken in west Africa,"language family spoken over the majority of sub-Saharan Africa, uniting the Mande languages, the Atlantic-Congo languages and possibly several smaller groups of languages",Exact,TRUE,
"Sango, Sango language",https://en-word.net/id/oewn-06918804-n,https://www.wikidata.org/entity/Q33954,a trade language widely used in Chad,Ngbandi-based creole of the Central African Republic,Exact,TRUE,
"Bantu, Bantoid language",https://en-word.net/id/oewn-07004640-n,https://www.wikidata.org/entity/Q33146,a family of languages widely spoken in the southern half of the African continent,large language family spoken in Sub-Saharan Africa,Exact,TRUE,
"Chichewa, Chichewa language",https://en-word.net/id/oewn-07005260-n,https://www.wikidata.org/entity/Q33273,the Bantu language of the Chewa of east central Africa,language of the Bantu language family,Exact,TRUE,
"ChiMwini, ChiMwini language",https://en-word.net/id/oewn-07005369-n,https://www.wikidata.org/entity/Q4958328,a Bantu language spoken in southern Somalia,variety of Swahili,Exact,TRUE,
"Chishona, Chishona language",https://en-word.net/id/oewn-07005467-n,https://www.wikidata.org/entity/Q34004,a Bantu language that is one of the two major languages of Zimbabwe,Bantu language of Zimbabwe and Mozambique,Exact,TRUE,
"Fang, Fang language",https://en-word.net/id/oewn-07005589-n,https://www.wikidata.org/entity/Q5433811,a Bantu language spoken in Cameroon,African language native to Cameroon,Multiple,TRUE,
